                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.163,                 2.0474,                 2.5357,                0.95433,                0.94837,                0.98319,                0.65024,                 1.1476,                0.91153,                 1.4602,             0.00066614,             0.00066614,             0.00066614
                      2,                 1.2294,                0.83834,                 1.4544,                0.97112,                0.97794,                0.99268,                0.76125,                0.86338,                0.57332,                 1.1732,              0.0012888,              0.0012888,              0.0012888
                      3,                 1.0555,                0.68272,                 1.2989,                0.97581,                0.98694,                0.99102,                0.80733,                0.75549,                0.47029,                 1.0691,              0.0018675,              0.0018675,              0.0018675
                      4,                 0.9557,                0.60355,                 1.2192,                0.98315,                0.98872,                0.99385,                0.83655,                 0.6768,                0.40477,                 1.0119,               0.001802,               0.001802,               0.001802
                      5,                0.89773,                0.55507,                 1.1767,                 0.9853,                0.99414,                0.99414,                0.84189,                0.64274,                0.36272,                0.99055,               0.001736,               0.001736,               0.001736
                      6,                0.85328,                 0.5146,                 1.1486,                0.99112,                0.99349,                0.99429,                0.85205,                0.64772,                0.35351,                0.98974,                0.00167,                0.00167,                0.00167
                      7,                0.81803,                0.49186,                 1.1264,                0.99543,                0.99347,                0.99485,                0.86051,                0.61575,                0.33671,                0.96832,               0.001604,               0.001604,               0.001604
                      8,                0.80375,                0.46962,                 1.1151,                0.99531,                0.99466,                0.99478,                0.85597,                0.62528,                0.33298,                0.96235,               0.001538,               0.001538,               0.001538
                      9,                 0.7819,                0.45896,                 1.1007,                0.99374,                0.99703,                0.99484,                0.87543,                0.58245,                0.31737,                0.94309,               0.001472,               0.001472,               0.001472
                     10,                0.75864,                0.44044,                 1.0848,                0.99685,                0.99585,                0.99473,                0.87872,                0.56295,                0.30021,                0.93789,               0.001406,               0.001406,               0.001406
                     11,                0.74609,                0.42968,                 1.0788,                0.99584,                0.99484,                0.99474,                0.89276,                0.54427,                 0.2852,                0.92271,                0.00134,                0.00134,                0.00134
                     12,                0.73884,                0.42151,                 1.0724,                0.99643,                0.99585,                0.99484,                0.89555,                 0.5472,                0.28611,                0.92437,               0.001274,               0.001274,               0.001274
                     13,                0.72064,                0.41043,                  1.062,                0.99703,                0.99608,                0.99468,                0.88125,                0.53424,                0.28239,                0.91446,               0.001208,               0.001208,               0.001208
                     14,                0.70974,                0.39912,                 1.0567,                0.99348,                0.99529,                 0.9946,                 0.8932,                0.53946,                0.27687,                0.91947,               0.001142,               0.001142,               0.001142
                     15,                0.70263,                0.39368,                 1.0534,                0.99573,                0.99644,                0.99489,                0.89747,                0.52489,                0.26622,                0.90779,               0.001076,               0.001076,               0.001076
                     16,                0.69238,                0.38502,                 1.0436,                0.99501,                0.99763,                0.99477,                0.89751,                0.51823,                0.26246,                0.90671,                0.00101,                0.00101,                0.00101
                     17,                0.68218,                0.37901,                 1.0394,                0.99676,                0.99644,                0.99475,                0.89969,                0.52003,                0.26158,                0.90781,               0.000944,               0.000944,               0.000944
                     18,                0.67012,                   0.37,                 1.0289,                0.99703,                0.99635,                 0.9946,                 0.8991,                 0.5117,                0.25765,                0.90204,               0.000878,               0.000878,               0.000878
                     19,                0.66174,                0.36432,                 1.0262,                0.99493,                0.99763,                0.99472,                0.90244,                0.50977,                0.25035,                0.90181,               0.000812,               0.000812,               0.000812
                     20,                0.65062,                0.35445,                 1.0221,                0.99736,                0.99585,                0.99467,                0.90381,                0.50145,                0.24612,                0.89801,               0.000746,               0.000746,               0.000746
                     21,                0.57501,                0.28956,                0.94668,                0.99703,                0.99578,                 0.9947,                0.90994,                 0.5045,                0.24636,                0.89593,                0.00068,                0.00068,                0.00068
                     22,                0.56434,                0.28145,                0.93922,                0.99644,                0.99587,                0.99473,                0.90315,                0.49887,                0.24115,                0.89376,               0.000614,               0.000614,               0.000614
                     23,                0.55897,                 0.2751,                0.93754,                0.99727,                0.99585,                0.99469,                0.91208,                0.49065,                0.23516,                0.89324,               0.000548,               0.000548,               0.000548
                     24,                0.54882,                0.26708,                0.93254,                0.99509,                0.99822,                0.99467,                0.91233,                0.48879,                 0.2333,                0.89331,               0.000482,               0.000482,               0.000482
                     25,                 0.5394,                0.26329,                0.92682,                0.99751,                0.99644,                 0.9947,                0.91714,                0.48447,                0.22817,                0.88393,               0.000416,               0.000416,               0.000416
                     26,                0.53405,                0.25835,                0.92292,                0.99739,                0.99585,                0.99472,                0.91857,                0.47981,                0.22622,                0.88316,                0.00035,                0.00035,                0.00035
                     27,                0.52522,                0.25236,                0.91768,                0.99743,                0.99644,                0.99472,                0.91503,                0.47563,                0.22359,                0.88157,               0.000284,               0.000284,               0.000284
                     28,                0.51709,                0.24549,                0.91402,                0.99526,                0.99779,                0.99476,                0.91823,                0.47915,                0.22044,                0.88625,               0.000218,               0.000218,               0.000218
